         45803 function calls (43593 primitive calls) in 2.562 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.047    0.047    0.047    0.047 :0(CascadeClwassifier)
        4    0.000    0.000    0.000    0.000 :0(GaussianBlur)
        1    0.000    0.000    0.000    0.000 :0(LoadLibrary)
      248    0.000    0.000    0.000    0.000 :0(OpenKey)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
        2    0.000    0.000    0.000    0.000 :0(__array_prepare__)
  284/282    0.000    0.000    0.000    0.000 :0(__build_class__)
       21    0.000    0.000    0.000    0.000 :0(__contains__)
    307/6    0.000    0.000    0.234    0.039 :0(__import__)
       29    0.000    0.000    0.000    0.000 :0(__new__)
       12    0.000    0.000    0.000    0.000 :0(__subclasses__)
       11    0.000    0.000    0.000    0.000 :0(__subclasshook__)
        7    0.000    0.000    0.000    0.000 :0(_filters_mutated)
      108    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
       24    0.000    0.000    0.000    0.000 :0(_getframe)
        1    0.000    0.000    0.000    0.000 :0(_getfullpathname)
        1    0.000    0.000    0.000    0.000 :0(_set_sentinel)
       81    0.000    0.000    0.000    0.000 :0(abs)
        4    0.000    0.000    0.000    0.000 :0(acquire)
      519    0.016    0.000    0.016    0.000 :0(acquire_lock)
      280    0.016    0.000    0.016    0.000 :0(add)
      266    0.000    0.000    0.000    0.000 :0(add_docstring)
      275    0.000    0.000    0.000    0.000 :0(allocate_lock)
      136    0.000    0.000    0.000    0.000 :0(any)
     1429    0.000    0.000    0.000    0.000 :0(append)
       62    0.000    0.000    0.000    0.000 :0(array)
        9    0.000    0.000    0.000    0.000 :0(astype)
       18    0.000    0.000    0.000    0.000 :0(calcsize)
        2    0.000    0.000    0.000    0.000 :0(callable)
        6    0.000    0.000    0.000    0.000 :0(cast)
      409    0.000    0.000    0.000    0.000 :0(chr)
        3    0.000    0.000    0.000    0.000 :0(clear)
        1    0.000    0.000    0.000    0.000 :0(clip)
       15    0.000    0.000    0.000    0.000 :0(compile)
        2    0.000    0.000    0.000    0.000 :0(concatenate)
        4    0.000    0.000    0.000    0.000 :0(convexHull)
        2    0.000    0.000    0.000    0.000 :0(cvtColor)
        2    0.109    0.055    0.109    0.055 :0(detectMultiScale)
        1    0.000    0.000    0.000    0.000 :0(dir)
       45    0.000    0.000    0.000    0.000 :0(divmod)
        6    0.000    0.000    0.000    0.000 :0(dot)
       21    0.000    0.000    0.000    0.000 :0(empty)
       14    0.000    0.000    0.000    0.000 :0(encode)
      108    0.000    0.000    0.000    0.000 :0(endswith)
    114/1    0.016    0.000    2.562    2.562 :0(exec)
        1    0.000    0.000    0.000    0.000 :0(exp)
       76    0.000    0.000    0.000    0.000 :0(extend)
        4    0.000    0.000    0.000    0.000 :0(fillConvexPoly)
      109    0.000    0.000    0.000    0.000 :0(find)
        5    0.000    0.000    0.000    0.000 :0(find_loader)
     1136    0.016    0.000    0.016    0.000 :0(format)
      217    0.000    0.000    0.000    0.000 :0(from_bytes)
       85    0.000    0.000    0.000    0.000 :0(get)
        2    0.000    0.000    0.000    0.000 :0(getPerspectiveTransform)
      623    0.000    0.000    0.000    0.000 :0(get_ident)
     1562    0.000    0.000    0.000    0.000 :0(getattr)
       73    0.000    0.000    0.000    0.000 :0(getcwd)
        6    0.000    0.000    0.000    0.000 :0(geterrobj)
      328    0.000    0.000    0.000    0.000 :0(getlower)
      346    0.000    0.000    0.000    0.000 :0(globals)
     2096    0.000    0.000    0.000    0.000 :0(hasattr)
        2    0.016    0.008    0.016    0.008 :0(imread)
        6    0.000    0.000    0.000    0.000 :0(init_builtin)
        5    0.000    0.000    0.000    0.000 :0(insert)
       43    0.000    0.000    0.000    0.000 :0(is_builtin)
      124    0.000    0.000    0.000    0.000 :0(is_frozen)
       29    0.000    0.000    0.000    0.000 :0(isidentifier)
     2245    0.000    0.000    0.000    0.000 :0(isinstance)
    70/56    0.000    0.000    0.016    0.000 :0(issubclass)
       27    0.000    0.000    0.000    0.000 :0(items)
       47    0.000    0.000    0.000    0.000 :0(iter)
     1354    0.016    0.000    0.016    0.000 :0(join)
       17    0.000    0.000    0.000    0.000 :0(keys)
2444/2412    0.000    0.000    0.000    0.000 :0(len)
       13    0.016    0.001    0.016    0.001 :0(listdir)
     11/2    0.016    0.001    0.266    0.133 :0(load_dynamic)
      108    0.000    0.000    0.000    0.000 :0(loads)
        2    0.000    0.000    0.000    0.000 :0(log)
      310    0.000    0.000    0.000    0.000 :0(lower)
        1    0.000    0.000    0.000    0.000 :0(lstrip)
      101    0.000    0.000    0.000    0.000 :0(match)
        8    0.000    0.000    0.000    0.000 :0(max)
      132    0.000    0.000    0.000    0.000 :0(min)
       47    0.000    0.000    0.000    0.000 :0(next)
        1    0.000    0.000    0.000    0.000 :0(openssl_md5)
